,Answer_ID
0,7
1,1
2,1
3,5
4,8
5,3
6,2
7,5
8,5
9,2
10,3
11,8
12,4
13,1
14,6
15,2
16,1
17,6
18,8
19,5
20,7
21,8
22,2
23,5
24,4
25,6
26,2
27,3
28,1
29,1
30,2
31,8
32,5
33,3
34,1
35,3
36,1
37,2
38,8
39,2
40,4
41,6
42,5
43,3
44,2
45,3
46,4
47,6
48,1
49,4
50,3
51,3
52,7
53,2
54,1
55,2
56,1
57,1
58,1
59,3
60,4
61,4
62,2
63,6
64,2
65,7
66,5
67,6
68,5
69,1
70,8
71,7
72,6
73,2
74,1
75,6
76,6
77,3
78,5
79,5
80,1
81,3
82,6
83,4
84,5
85,1
86,4
87,5
88,3
89,6
90,2
91,4
92,7
93,2
94,8
95,2
96,2
97,2
98,1
99,8
100,3
101,2
102,4
103,3
104,5
105,2
106,4
107,1
108,1
109,8
110,2
111,5
112,2
113,4
114,8
115,2
116,7
117,7
118,5
119,5
120,8
121,4
122,2
123,4
124,4
125,2
126,8
127,7
128,8
129,4
130,6
131,3
132,6
133,4
134,7
135,5
136,2
137,5
138,8
139,5
140,4
141,2
142,3
143,2
144,7
145,7
146,6
147,2
148,7
149,7
150,5
151,7
152,4
153,1
154,2
155,7
156,7
157,1
158,8
159,2
160,2
161,3
162,5
163,6
164,3
165,4
166,6
167,3
168,2
169,4
170,7
171,5
172,8
173,5
174,2
175,4
176,5
177,8
178,5
179,4
180,3
181,2
182,2
183,2
184,3
185,3
186,4
187,6
188,2
189,1
190,3
191,5
192,4
193,6
194,1
195,1
196,8
197,3
198,3
199,7
200,4
201,1
202,5
203,4
204,7
205,7
206,6
207,7
208,5
209,2
210,4
211,1
212,1
213,7
214,7
215,8
216,3
217,2
218,3
219,4
220,4
221,5
222,3
223,1
224,4
225,2
226,4
227,5
228,1
229,4
230,5
231,3
232,1
233,1
234,5
235,4
236,3
237,8
238,2
239,4
240,5
241,4
242,5
243,3
244,2
245,7
246,7
247,2
248,6
249,7
250,4
251,3
252,2
253,1
254,4
255,8
256,5
257,7
258,6
259,4
260,1
261,1
262,1
263,7
264,2
265,2
266,3
267,6
268,1
269,1
270,4
271,2
272,2
273,1
274,3
275,1
276,8
277,2
278,7
279,7
280,3
281,5
282,7
283,8
284,6
285,2
286,1
287,5
288,4
289,4
290,4
291,3
292,2
293,2
294,3
295,5
296,7
297,7
298,5
299,6
300,2
301,4
302,2
303,8
304,2
305,3
306,6
307,4
308,2
309,2
310,6
311,4
312,5
313,4
314,1
315,4
316,4
317,6
318,4
319,3
320,2
321,5
322,3
323,3
324,4
325,7
326,5
327,7
328,6
329,3
330,4
331,5
332,1
333,2
334,4
335,7
336,7
337,3
338,8
339,7
340,1
341,5
342,8
343,2
344,8
345,2
346,2
347,3
348,1
349,2
350,8
351,1
352,5
353,8
354,6
355,4
356,7
357,1
358,8
359,1
360,6
361,5
362,1
363,8
364,4
365,1
366,6
367,3
368,1
369,5
370,2
371,4
372,6
373,4
374,6
375,5
376,1
377,5
378,2
379,2
380,6
381,4
382,6
383,4
384,8
385,2
386,1
387,2
388,2
389,5
390,5
391,1
392,2
393,4
394,1
395,1
396,1
397,3
398,1
399,8
400,8
401,4
402,1
403,3
404,4
405,6
406,2
407,2
408,8
409,5
410,2
411,5
412,4
413,1
414,2
415,4
416,7
417,2
418,6
419,5
420,4
421,3
422,1
423,2
424,8
425,5
426,4
427,8
428,8
429,1
430,5
431,7
432,3
433,2
434,8
435,3
436,8
437,2
438,2
439,6
440,6
441,8
442,2
443,8
444,8
445,1
446,3
447,4
448,6
449,7
450,1
451,8
452,3
453,2
454,6
455,6
456,5
457,3
458,7
459,4
460,1
461,3
462,5
463,4
464,6
465,3
466,6
467,6
468,5
469,7
470,1
471,6
472,6
473,2
474,2
475,6
476,6
477,1
478,2
479,4
480,4
481,3
482,7
483,1
484,4
485,8
486,2
487,4
488,2
489,7
490,1
491,1
492,4
493,3
494,4
495,2
496,1
497,1
498,6
499,2
500,6
501,5
502,2
503,5
504,2
505,1
506,2
507,8
508,4
509,4
510,2
511,4
512,6
513,4
514,8
515,6
516,4
517,4
518,7
519,6
520,3
521,7
522,2
523,7
524,7
525,2
526,8
527,2
528,5
529,8
530,3
531,7
532,3
533,7
534,1
535,7
536,1
537,5
538,3
539,2
540,5
541,2
542,5
543,7
544,2
545,4
546,6
547,3
548,5
549,8
550,8
551,4
552,2
553,4
554,2
555,3
556,5
557,6
558,8
559,1
560,4
561,4
562,2
563,4
564,6
565,1
566,2
567,2
568,1
569,6
570,7
571,8
572,3
573,2
574,4
575,3
576,5
577,3
578,3
579,7
580,7
581,2
582,4
583,3
584,4
585,3
586,2
587,8
588,8
589,1
590,2
591,7
592,2
593,8
594,8
595,1
596,2
597,3
598,1
599,3
600,5
601,4
602,2
603,4
604,2
605,8
606,6
607,6
608,1
609,3
610,6
611,1
612,3
613,6
614,7
615,7
616,1
617,5
618,3
619,8
620,2
621,7
622,6
623,1
624,8
625,2
626,7
627,1
628,3
629,4
630,8
631,7
632,2
633,1
634,4
635,2
636,7
637,2
638,2
639,3
640,5
641,1
642,2
643,1
644,2
645,6
646,1
647,2
648,4
649,4
650,3
651,1
652,3
653,6
654,1
655,1
656,7
657,5
658,5
659,5
660,4
661,1
662,6
663,3
664,6
665,6
666,2
667,8
668,5
669,6
670,5
671,7
672,1
673,2
674,1
675,3
676,3
677,6
678,4
679,3
680,7
681,5
682,4
683,1
684,4
685,5
686,3
687,4
688,1
689,2
690,5
691,7
692,7
693,1
694,3
695,1
696,1
697,1
698,8
699,4
700,3
701,2
702,1
703,1
704,3
705,3
706,1
707,5
708,5
709,3
710,7
711,2
712,4
713,1
714,3
715,3
716,2
717,6
718,6
719,1
720,1
721,4
722,6
723,4
724,3
725,3
726,5
727,8
728,1
729,1
730,7
731,5
732,2
733,2
734,2
735,3
736,4
737,2
738,3
739,3
740,1
741,5
742,3
743,3
744,8
745,1
746,2
747,6
748,1
749,1
750,1
751,3
752,1
753,8
754,5
755,3
756,5
757,1
758,2
759,1
760,2
761,5
762,1
763,1
764,2
765,6
766,7
767,7
768,4
769,3
770,2
771,3
772,3
773,5
774,3
775,4
776,5
777,3
778,2
779,8
780,4
781,8
782,7
783,2
784,6
785,4
786,2
787,8
788,3
789,5
790,1
791,8
792,7
793,2
794,1
795,2
796,6
797,1
798,6
799,1
800,2
801,1
802,2
803,2
804,1
805,5
806,8
807,3
808,3
809,2
810,1
811,6
812,1
813,7
814,3
815,5
816,5
817,3
818,2
819,4
820,1
821,2
822,4
823,2
824,4
825,3
826,2
827,8
828,6
829,3
830,7
831,1
832,1
833,6
834,5
835,7
836,3
837,8
838,5
839,1
840,1
841,5
842,5
843,1
844,6
845,2
846,2
847,7
848,2
849,5
850,5
851,2
852,4
853,2
854,2
855,5
856,8
857,4
858,1
859,5
860,7
861,2
862,1
863,5
864,7
865,1
866,6
867,6
868,2
869,2
870,3
871,4
872,1
873,2
874,1
875,3
876,4
877,2
878,5
879,4
880,3
881,1
882,1
883,8
884,4
885,5
886,2
887,3
888,1
889,6
890,1
891,2
892,6
893,6
894,6
895,4
896,4
897,4
898,1
899,5
900,1
901,8
902,5
903,2
904,4
905,3
906,3
907,2
908,5
909,8
910,2
911,1
912,7
913,1
914,4
915,6
916,7
917,3
918,1
919,7
920,7
921,4
922,1
923,3
924,4
925,1
