,Answer_ID
0,3
1,5
2,3
3,3
4,4
5,3
6,4
7,4
8,2
9,2
10,1
11,2
12,1
13,3
14,3
15,2
16,3
17,2
18,1
19,1
20,1
21,1
22,4
23,2
24,3
25,3
26,4
27,4
28,5
29,4
30,3
31,2
32,3
33,1
34,3
35,1
36,3
37,3
38,1
39,1
40,5
41,3
42,3
43,2
44,3
45,2
46,4
47,4
48,3
49,3
50,4
51,2
52,1
53,3
54,4
55,4
56,2
57,4
58,2
59,1
60,1
61,4
62,5
63,5
64,4
65,4
66,3
67,5
68,3
69,3
70,4
71,3
72,1
73,1
74,4
75,3
76,4
77,4
78,2
79,5
80,2
81,2
82,2
83,3
84,1
85,5
86,5
87,1
88,4
89,3
90,1
91,5
92,5
93,3
94,4
95,5
96,3
97,2
98,1
99,4
100,1
101,2
102,3
103,4
104,3
105,1
106,4
107,2
108,5
109,2
110,3
111,1
112,3
113,5
114,4
115,3
116,2
117,4
118,4
119,1
120,3
121,5
122,4
123,1
124,5
125,2
126,5
127,4
128,2
129,4
130,1
131,3
132,5
133,2
134,2
135,2
136,5
137,1
138,2
139,5
140,3
141,4
142,2
143,3
144,1
145,1
146,1
147,2
148,5
149,4
150,1
151,2
152,3
153,3
154,5
155,2
156,4
157,5
158,2
159,1
160,1
161,5
162,3
163,4
164,1
165,4
166,3
167,1
168,5
169,4
170,3
171,1
172,2
173,5
174,3
175,5
176,3
177,3
178,4
179,5
180,3
181,1
182,1
183,1
184,3
185,5
186,4
187,4
188,5
189,1
190,1
191,5
192,3
193,4
194,4
195,5
196,4
197,3
198,2
199,5
200,1
201,3
202,2
203,3
204,5
205,5
206,2
207,3
208,1
209,2
210,4
211,3
212,1
213,1
214,2
215,4
216,1
217,2
218,2
219,2
220,1
221,2
222,3
223,3
224,4
225,4
226,2
227,1
228,2
229,4
230,1
231,3
232,2
233,4
234,2
235,2
236,4
237,3
238,5
239,1
240,1
241,5
242,4
243,5
244,5
245,2
246,3
247,2
248,3
249,4
250,4
251,1
252,1
253,2
254,1
255,4
256,3
257,4
258,5
259,5
260,4
