,answers
0,3
1,8
2,5
3,1
4,2
5,2
6,8
7,1
8,5
9,5
10,4
11,6
12,6
13,8
14,1
15,8
16,4
17,4
18,1
19,2
20,1
21,3
22,1
23,4
24,1
25,1
26,7
27,1
28,5
29,5
30,1
31,1
32,1
33,1
34,1
35,5
36,6
37,6
38,8
39,1
40,5
41,6
42,2
43,8
44,2
45,4
46,1
47,3
48,5
49,4
50,4
51,1
52,7
53,5
54,1
55,1
56,8
57,1
58,8
59,4
60,3
61,1
62,2
63,1
64,5
65,4
66,5
67,2
68,1
69,3
70,1
71,3
72,8
73,3
74,6
75,1
76,4
77,1
78,1
79,3
80,7
81,6
82,2
83,2
84,2
85,2
86,7
87,8
88,2
89,1
90,3
91,8
92,2
93,1
94,1
95,7
96,8
97,6
98,3
99,8
100,6
101,8
102,8
103,1
104,8
105,3
106,5
107,8
108,4
109,2
110,5
111,1
112,3
113,1
114,1
115,3
116,2
117,1
118,4
119,1
120,1
121,3
122,3
123,2
124,3
125,4
126,7
127,1
128,7
129,8
130,6
131,7
132,7
133,3
134,1
135,1
136,3
137,6
138,5
139,7
140,4
141,3
142,7
143,7
144,2
145,8
146,6
147,8
148,8
149,3
150,5
151,7
152,2
153,5
154,1
155,1
156,3
157,6
158,4
159,1
160,1
161,1
162,1
163,1
164,8
165,7
166,1
167,5
168,8
169,3
170,1
171,6
172,4
173,3
174,1
175,7
176,3
177,7
178,5
179,6
180,2
181,4
182,8
183,1
184,8
185,6
186,4
187,4
188,8
189,7
190,1
191,4
192,5
193,3
194,1
195,5
196,3
197,7
198,5
199,2
200,1
201,1
202,1
203,6
204,1
205,3
206,5
207,1
208,1
209,1
210,5
211,8
212,1
213,3
214,3
215,7
216,1
217,6
218,3
219,1
220,1
221,3
222,2
223,5
224,2
225,1
226,3
227,1
228,3
229,8
230,1
231,4
232,7
233,7
234,3
235,5
236,2
237,1
238,8
239,1
240,3
241,5
242,8
243,6
244,3
245,5
246,3
247,7
248,1
249,3
250,3
251,8
252,2
253,1
254,6
255,1
256,3
257,2
258,4
259,3
260,4
261,8
262,7
263,4
264,1
265,2
266,2
267,4
268,4
269,5
270,6
271,4
272,1
273,5
274,7
275,1
276,8
277,8
278,4
279,2
280,3
281,4
282,1
283,8
284,1
285,1
286,4
287,1
288,6
289,3
290,1
291,3
292,5
293,1
294,5
295,1
296,8
297,1
298,5
299,1
300,7
301,1
302,3
303,8
304,3
305,2
306,1
307,2
308,6
309,3
310,1
311,2
312,7
313,3
314,6
315,4
316,4
317,3
318,1
319,2
320,5
321,1
322,4
323,1
324,5
325,8
326,3
327,4
328,3
329,3
330,3
331,1
332,6
333,1
334,2
335,4
336,1
337,8
338,7
339,5
340,6
341,1
342,2
343,4
344,2
345,1
346,5
347,1
348,2
349,5
350,4
351,1
352,1
353,1
354,2
355,1
356,1
357,4
358,1
359,1
360,1
361,5
362,8
363,5
364,3
365,6
366,6
367,3
368,1
369,8
370,2
371,3
372,4
373,8
374,1
375,7
376,2
377,1
378,1
379,8
380,8
381,2
382,4
383,6
384,7
385,1
386,4
387,3
388,1
389,2
390,1
391,3
392,5
393,4
394,1
395,8
396,7
397,3
398,5
399,1
400,4
401,4
402,5
403,3
404,7
405,3
406,1
407,3
408,1
409,6
410,1
411,3
412,6
413,3
414,6
415,8
416,6
417,8
418,6
419,1
420,7
421,1
422,1
423,8
424,5
425,3
426,4
427,7
428,8
429,5
430,5
431,8
432,1
433,8
434,5
435,6
436,1
437,4
438,1
439,8
440,2
441,7
442,1
443,2
444,5
445,3
446,1
447,1
448,6
449,1
450,1
451,3
452,1
453,7
454,1
455,1
456,5
457,8
458,5
459,8
460,3
461,5
462,1
463,1
464,5
465,4
466,3
467,7
468,1
469,4
470,8
471,2
472,8
473,8
474,1
475,4
476,5
477,2
478,8
479,8
480,3
481,2
482,7
483,1
484,4
485,3
486,4
487,7
488,8
489,8
490,5
491,2
492,7
493,3
494,3
495,3
496,8
497,7
498,3
499,3
500,3
501,3
502,7
503,7
504,3
505,6
506,1
507,3
508,7
509,1
510,3
511,8
512,3
513,2
514,3
515,7
516,3
517,3
518,1
519,2
520,3
521,7
522,1
523,2
524,5
525,1
526,1
527,2
528,4
529,2
530,1
531,8
532,8
533,5
534,2
535,3
536,1
537,2
538,2
539,3
540,1
541,5
542,8
543,2
544,3
545,3
546,5
547,8
548,7
549,3
550,1
551,4
552,5
553,8
554,7
555,4
556,3
557,2
558,1
559,1
560,1
561,1
562,5
563,6
564,2
565,3
566,3
567,1
568,2
569,5
570,2
571,3
572,5
573,1
574,3
575,6
576,3
577,1
578,7
579,1
580,4
581,4
582,6
583,7
584,8
585,1
586,1
587,1
588,1
589,5
590,6
591,1
592,3
593,8
594,1
595,5
596,6
597,3
598,1
599,1
600,6
601,1
602,1
603,1
604,1
605,3
606,8
607,5
608,1
609,8
610,1
611,8
612,3
613,4
614,7
615,7
616,7
617,3
618,8
619,6
620,1
621,1
622,2
623,3
624,5
625,5
626,1
627,1
628,4
629,8
630,8
631,1
632,1
633,4
634,8
635,1
636,8
637,1
638,3
639,5
640,5
641,1
642,7
643,1
644,8
645,1
646,1
647,5
648,8
649,7
650,1
651,4
652,2
653,6
654,5
655,5
656,1
657,3
658,7
659,2
660,4
661,6
662,2
663,2
664,8
665,2
666,5
667,6
668,1
669,7
670,5
671,2
672,1
673,3
674,3
675,1
676,8
677,1
678,2
679,1
680,1
681,1
682,2
683,8
684,1
685,8
686,2
687,3
688,3
689,2
690,5
691,8
692,6
693,5
694,4
695,1
696,2
697,8
698,8
699,8
700,1
701,1
702,3
703,1
704,1
705,5
706,1
707,8
708,1
709,8
710,1
711,2
712,3
713,4
714,1
715,4
716,1
717,6
718,3
719,1
720,1
721,1
722,8
723,6
724,6
725,3
726,4
727,3
728,1
729,4
730,6
731,7
732,1
733,1
734,1
735,1
736,3
737,7
738,8
739,3
740,4
741,3
742,2
743,4
744,8
745,8
746,5
747,5
748,8
749,8
750,2
751,1
752,3
753,1
754,2
755,8
756,1
757,6
758,1
759,8
760,4
761,1
762,6
763,1
764,2
765,4
766,3
767,6
768,5
769,2
770,4
771,7
772,3
773,4
774,2
775,5
776,7
777,5
778,4
779,7
780,2
781,7
782,3
783,8
784,7
785,1
786,3
787,6
788,3
789,2
790,8
791,8
792,1
793,4
794,1
795,1
796,5
797,2
798,1
799,8
800,1
801,7
802,7
803,1
804,8
805,4
806,5
807,7
808,6
809,8
810,5
811,3
812,2
813,5
814,8
815,8
816,1
817,1
818,1
819,3
820,1
821,2
822,8
823,6
824,3
825,1
826,1
827,3
828,1
829,1
830,3
831,3
832,5
833,7
834,4
835,6
836,8
837,7
838,7
839,2
840,1
841,8
842,1
843,1
844,7
845,4
846,1
847,6
848,5
849,1
850,6
851,3
852,2
853,8
854,6
855,2
856,1
857,8
858,3
859,1
860,3
861,8
862,5
863,2
864,5
865,8
866,1
867,1
868,4
869,1
870,2
871,4
872,1
873,4
874,8
875,8
876,4
877,7
878,4
879,1
880,2
881,8
882,1
883,3
884,8
885,3
886,1
887,1
888,3
889,4
890,3
891,3
892,1
893,2
894,1
895,1
896,4
897,3
898,3
899,3
900,4
901,4
902,3
903,3
904,1
905,1
906,3
907,7
908,8
909,4
910,6
911,1
912,1
913,1
914,1
915,2
916,8
917,2
918,8
919,7
920,1
921,4
922,6
923,5
924,1
925,8
