,answers
0,2
1,1
2,2
3,6
4,2
5,4
6,6
7,3
8,6
9,5
10,1
11,3
12,4
13,6
14,7
15,2
16,4
17,2
18,2
19,8
20,7
21,3
22,5
23,3
24,7
25,6
26,2
27,3
28,4
29,4
30,6
31,1
32,5
33,7
34,2
35,3
36,6
37,7
38,5
39,2
40,4
41,2
42,6
43,1
44,6
45,2
46,2
47,2
48,8
49,7
50,7
51,7
52,3
53,1
54,8
55,3
56,1
57,8
58,7
59,3
60,8
61,3
62,2
63,5
64,3
65,6
66,4
67,3
68,7
69,3
70,7
71,3
72,8
73,5
74,3
75,5
76,6
77,3
78,3
79,7
80,1
81,2
82,3
83,6
84,2
85,4
86,7
87,1
88,7
89,2
90,7
91,2
92,4
93,6
94,1
95,4
96,8
97,1
98,4
99,4
100,1
101,8
102,1
103,4
104,1
105,2
106,5
107,3
108,5
109,8
110,5
111,8
112,5
113,5
114,4
115,5
116,6
117,1
118,5
119,8
120,3
121,3
122,3
123,8
124,1
125,3
126,2
127,4
128,7
129,3
130,1
131,4
132,6
133,2
134,2
135,1
136,5
137,8
138,6
139,7
140,5
141,5
142,2
143,2
144,5
145,4
146,1
147,3
148,6
149,2
150,4
151,8
152,6
153,3
154,4
155,4
156,8
157,1
158,1
159,1
160,8
161,5
162,5
163,5
164,3
165,2
166,1
167,5
168,7
169,7
170,8
171,6
172,8
173,7
174,4
175,7
176,6
177,8
178,1
179,1
180,2
181,3
182,4
183,3
184,6
185,4
186,4
187,5
188,7
189,3
190,3
191,5
192,3
193,3
194,6
195,3
196,2
197,2
198,7
199,6
200,1
201,1
202,6
203,4
204,1
205,5
206,1
207,3
208,4
209,8
210,4
211,8
212,7
213,8
214,1
215,8
216,4
217,3
218,5
219,1
220,3
221,4
222,3
223,5
224,7
225,1
226,8
227,5
228,8
229,3
230,3
231,5
232,7
233,7
234,7
235,4
236,5
237,4
238,8
239,3
240,5
241,1
242,4
243,5
244,3
245,8
246,3
247,2
248,4
249,2
250,2
251,8
252,2
253,7
254,5
255,4
256,7
257,8
258,7
259,3
260,1
261,2
262,1
263,6
264,8
265,1
266,8
267,3
268,4
269,7
270,7
271,7
272,3
273,5
274,2
275,8
276,5
277,3
278,1
279,2
280,4
281,6
282,2
283,2
284,1
285,5
286,8
287,2
288,7
289,4
290,4
291,4
292,6
293,5
294,5
295,6
296,6
297,2
298,3
299,3
300,7
301,6
302,8
303,5
304,5
305,7
306,4
307,6
308,1
309,3
310,1
311,3
312,3
313,3
314,2
315,8
316,4
317,6
318,7
319,6
320,7
321,5
322,3
323,1
324,4
325,3
326,5
327,6
328,4
329,3
330,1
331,7
332,8
333,5
334,3
335,1
336,7
337,6
338,3
339,7
340,7
341,5
342,5
343,4
344,8
345,5
346,2
347,7
348,1
349,1
350,7
351,7
352,3
353,7
354,4
355,3
356,8
357,6
358,4
359,6
360,7
361,2
362,4
363,6
364,2
365,2
366,5
367,3
368,1
369,6
370,7
371,2
372,6
373,5
374,7
375,8
376,7
377,4
378,7
379,5
380,3
381,8
382,5
383,3
384,4
385,1
386,6
387,2
388,3
389,7
390,2
391,1
392,2
393,1
394,7
395,7
396,8
397,8
398,5
399,5
400,3
401,6
402,3
403,6
404,6
405,8
406,6
407,7
408,7
409,6
410,8
411,1
412,3
413,7
414,4
415,8
416,6
417,2
418,1
419,1
420,4
421,6
422,1
423,3
424,2
425,2
426,4
427,1
428,4
429,2
430,7
431,4
432,7
433,7
434,1
435,8
436,4
437,8
438,5
439,6
440,4
441,7
442,1
443,7
444,4
445,1
446,2
447,6
448,7
449,6
450,6
451,1
452,2
453,3
454,3
455,8
456,1
457,2
458,4
459,8
460,6
461,7
462,2
463,1
464,8
465,5
466,5
467,8
468,7
469,5
470,7
471,6
472,3
473,6
474,8
475,3
476,5
477,8
478,6
479,6
480,1
481,7
482,3
483,4
484,7
485,5
486,1
487,4
488,3
489,7
490,6
491,6
492,7
493,2
494,2
495,2
496,4
497,4
498,7
499,7
500,6
501,5
502,7
503,4
504,6
505,4
506,6
507,5
508,3
509,4
510,6
511,4
512,7
513,4
514,3
515,8
516,6
517,7
518,1
519,6
520,8
521,5
522,3
523,5
524,1
525,5
526,5
527,7
528,4
529,1
530,1
531,5
532,7
533,3
534,7
535,7
536,6
537,5
538,2
539,5
540,6
541,3
542,3
543,3
544,3
545,3
546,6
547,7
548,2
549,8
550,8
551,1
552,1
553,4
554,6
555,8
556,5
557,7
558,7
559,5
560,7
561,8
562,2
563,3
564,1
565,2
566,1
567,4
568,6
569,6
570,1
571,8
572,8
573,7
574,3
575,3
576,8
577,6
578,5
579,8
580,7
581,1
582,1
583,2
584,2
585,8
586,5
587,8
588,4
589,6
590,6
591,3
592,1
593,3
594,6
595,6
596,4
597,5
598,1
599,7
600,7
601,6
602,5
603,2
604,7
605,5
606,7
607,7
608,8
609,8
610,6
611,3
612,1
613,6
614,5
615,6
616,8
617,3
618,2
619,8
620,5
621,3
622,6
623,7
624,7
625,4
626,2
627,6
628,4
629,2
630,8
631,5
632,2
633,6
634,5
635,4
636,4
637,8
638,7
639,6
640,3
641,7
642,2
643,4
644,3
645,4
646,1
647,5
648,8
649,3
650,6
651,2
652,4
653,4
654,2
655,6
656,2
657,6
658,8
659,7
660,5
661,4
662,3
663,4
664,5
665,4
666,4
667,1
668,5
669,3
670,5
671,6
672,7
673,8
674,4
675,5
676,6
677,1
678,7
679,5
680,2
681,6
682,2
683,6
684,1
685,6
686,7
687,8
688,6
689,1
690,3
691,6
692,2
693,4
694,2
695,2
696,5
697,2
698,4
699,3
700,2
701,2
702,5
703,5
704,7
705,8
706,2
707,4
708,7
709,3
710,1
711,8
712,3
713,3
714,7
715,5
716,5
717,6
718,6
719,4
720,7
721,8
722,3
723,8
724,5
725,7
726,1
727,4
728,3
729,3
730,3
