,answers
0,6
1,7
2,4
3,6
4,2
5,4
6,6
7,1
8,6
9,8
10,1
11,2
12,1
13,3
14,7
15,4
16,4
17,2
18,2
19,8
20,7
21,1
22,5
23,3
24,7
25,3
26,5
27,3
28,1
29,4
30,6
31,3
32,5
33,1
34,2
35,8
36,6
37,6
38,5
39,2
40,4
41,2
42,2
43,4
44,6
45,8
46,6
47,5
48,5
49,3
50,7
51,2
52,1
53,5
54,8
55,3
56,1
57,7
58,7
59,3
60,8
61,3
62,2
63,5
64,3
65,6
66,6
67,3
68,7
69,3
70,7
71,3
72,8
73,5
74,3
75,5
76,6
77,3
78,3
79,6
80,1
81,5
82,1
83,6
84,2
85,5
86,7
87,8
88,7
89,2
90,7
91,2
92,4
93,6
94,1
95,4
96,8
97,1
98,4
99,4
100,1
101,8
102,1
103,7
104,6
105,8
106,5
107,3
108,8
109,1
110,5
111,8
112,3
113,5
114,4
115,2
116,6
117,1
118,5
119,4
120,3
121,3
122,5
123,8
124,8
125,3
126,1
127,4
128,7
129,3
130,3
131,4
132,6
133,2
134,2
135,1
136,7
137,4
138,8
139,7
140,5
141,5
142,2
143,2
144,5
145,8
146,1
147,4
148,6
149,2
150,1
151,4
152,4
153,2
154,4
155,1
156,8
157,1
158,1
159,1
160,8
161,5
162,1
163,5
164,3
165,2
166,1
167,6
168,7
169,7
170,6
171,6
172,8
173,7
174,4
175,1
176,6
177,8
178,5
179,4
180,2
181,2
182,5
183,2
184,1
185,4
186,4
187,8
188,5
189,3
190,3
191,6
192,6
193,3
194,1
195,4
196,4
197,6
198,2
199,6
200,1
201,1
202,8
203,4
204,3
205,1
206,7
207,7
208,5
209,3
210,8
211,8
212,2
213,8
214,6
215,6
216,6
217,2
218,7
219,1
220,3
221,7
222,3
223,5
224,7
225,1
226,8
227,5
228,5
229,5
230,3
231,5
232,7
233,1
234,7
235,4
236,2
237,4
238,8
239,3
240,3
241,4
242,7
243,4
244,3
245,5
246,3
247,2
248,4
249,4
250,2
251,8
252,2
253,7
254,5
255,6
256,7
257,7
258,1
259,3
260,2
261,7
262,1
263,1
264,8
265,1
266,8
267,4
268,4
269,6
270,7
271,7
272,1
273,5
274,2
275,8
276,8
277,3
278,3
279,4
280,8
281,6
282,2
283,3
284,8
285,8
286,8
287,2
288,7
289,4
290,4
291,3
292,1
293,5
294,5
295,6
296,2
297,2
298,7
299,3
300,1
301,6
302,6
303,3
304,8
305,7
306,1
307,6
308,1
309,3
310,1
311,7
312,3
313,3
314,5
315,8
316,4
317,6
318,7
319,3
320,7
321,5
322,3
323,1
324,4
325,3
326,5
327,6
328,4
329,3
330,7
331,1
332,1
333,1
334,8
335,8
336,7
337,6
338,3
339,7
340,7
341,1
342,2
343,4
344,8
345,5
346,2
347,7
348,1
349,1
350,6
351,7
352,3
353,7
354,2
355,7
356,7
357,6
358,4
359,6
360,3
361,1
362,5
363,8
364,1
365,3
366,2
367,3
368,1
369,8
370,7
371,2
372,7
373,5
374,7
375,8
376,7
377,5
378,7
379,1
380,3
381,8
382,5
383,3
384,3
385,1
386,6
387,4
388,8
389,7
390,1
391,8
392,2
393,1
394,8
395,7
396,8
397,8
398,5
399,5
400,3
401,7
402,2
403,5
404,6
405,8
406,6
407,7
408,7
409,6
410,8
411,1
412,3
413,7
414,4
415,8
416,8
417,7
418,4
419,1
420,4
421,5
422,1
423,3
424,2
425,3
426,4
427,5
428,4
429,1
430,7
431,4
432,7
433,3
434,1
435,8
436,4
437,6
438,5
439,6
440,6
441,5
442,3
443,5
444,3
445,3
446,2
447,6
448,7
449,3
450,7
451,1
452,2
453,4
454,3
455,8
456,2
457,7
458,4
459,8
460,2
461,5
462,5
463,1
464,4
465,1
466,5
467,4
468,7
469,4
470,1
471,6
472,4
473,1
474,2
475,3
476,5
477,4
478,6
479,6
480,1
481,7
482,3
483,1
484,7
485,5
486,1
487,4
488,8
489,7
490,4
491,6
492,7
493,2
494,5
495,2
496,4
497,4
498,7
499,7
500,6
501,5
502,7
503,8
504,4
505,3
506,4
507,5
508,3
509,4
510,6
511,4
512,7
513,4
514,3
515,8
516,3
517,7
518,1
519,6
520,4
521,5
522,3
523,7
524,1
525,6
526,6
527,7
528,4
529,5
530,1
531,7
532,7
533,1
534,7
535,7
536,6
537,5
538,2
539,1
540,6
541,7
542,2
543,5
544,3
545,3
546,6
547,7
548,5
549,3
550,8
551,1
552,1
553,4
554,6
555,1
556,5
557,4
558,7
559,5
560,7
561,8
562,3
563,3
564,7
565,2
566,1
567,4
568,6
569,1
570,1
571,8
572,8
573,4
574,3
575,3
576,8
577,6
578,3
579,6
580,5
581,7
582,3
583,7
584,2
585,8
586,7
587,8
588,4
589,6
590,6
591,3
592,1
593,3
594,6
595,2
596,4
597,5
598,1
599,7
600,2
601,6
602,5
603,2
604,5
605,3
606,7
607,7
608,8
609,8
610,6
611,3
612,8
613,6
614,1
615,1
616,8
617,5
618,7
619,8
620,5
621,5
622,6
623,7
624,7
625,4
626,6
627,6
628,4
629,2
630,8
631,5
632,2
633,5
634,5
635,4
636,4
637,1
638,3
639,8
640,3
641,5
642,6
643,4
644,3
645,7
646,1
647,5
648,8
649,6
650,1
651,2
652,5
653,2
654,8
655,6
656,1
657,6
658,3
659,7
660,7
661,4
662,1
663,4
664,5
665,2
666,5
667,5
668,5
669,3
670,5
671,2
672,7
673,8
674,4
675,2
676,8
677,1
678,7
679,5
680,2
681,6
682,2
683,5
684,1
685,6
686,7
687,1
688,1
689,4
690,3
691,7
692,2
693,4
694,2
695,2
696,5
697,7
698,5
699,5
700,4
701,2
702,1
703,5
704,7
705,8
706,2
707,2
708,4
709,3
710,1
711,7
712,4
713,3
714,7
715,6
716,5
717,6
718,6
719,1
720,7
721,8
722,3
723,8
724,5
725,7
726,1
727,4
728,2
729,3
730,8
731,8
732,5
733,3
734,7
735,3
736,4
737,7
738,8
739,3
740,1
741,7
742,6
743,4
744,8
745,3
746,2
747,5
748,4
749,7
750,8
751,7
752,6
753,8
754,7
755,4
756,1
757,4
758,7
759,4
760,2
761,6
762,1
763,8
764,2
765,5
766,2
767,1
768,1
769,7
770,7
771,2
772,4
773,4
774,6
775,5
776,3
777,2
778,8
779,4
780,5
781,6
782,5
783,2
784,5
785,7
786,7
787,5
788,3
789,8
790,6
791,8
792,6
793,3
794,6
795,6
796,6
797,8
798,5
799,5
800,3
801,2
802,5
803,7
804,2
805,5
806,8
807,8
808,7
809,2
810,7
811,8
812,7
813,5
814,6
815,2
816,3
817,7
818,1
819,5
820,5
821,7
822,6
823,5
824,3
825,3
826,4
827,3
828,5
829,7
830,7
831,6
832,1
833,6
834,4
835,3
836,3
837,8
838,6
839,4
840,7
841,2
842,1
843,1
844,2
845,3
846,1
847,3
848,6
849,5
850,2
851,7
852,2
853,1
854,5
855,5
856,7
857,6
858,4
859,5
860,7
861,2
862,4
863,4
864,4
865,5
866,2
867,7
868,4
869,1
870,2
871,3
872,5
873,4
874,6
875,7
876,4
877,1
878,3
879,8
880,3
881,8
882,5
883,2
884,3
885,7
886,2
887,8
888,3
889,8
890,4
891,8
892,4
893,7
894,1
895,5
896,2
897,8
898,2
899,2
900,1
901,3
902,6
903,3
904,1
905,5
906,3
907,1
908,3
909,7
910,6
911,8
912,1
913,4
914,5
915,8
916,3
917,3
918,7
919,4
920,1
921,2
922,5
923,3
924,5
925,4
