,answers
0,1
1,6
2,8
3,7
4,8
5,4
6,4
7,1
8,4
9,4
10,1
11,4
12,4
13,4
14,8
15,4
16,4
17,3
18,8
19,4
20,8
21,8
22,4
23,1
24,8
25,1
26,4
27,8
28,3
29,8
30,4
31,4
32,5
33,5
34,5
35,4
36,4
37,4
38,4
39,8
40,3
41,2
42,4
43,4
44,1
45,8
46,4
47,8
48,8
49,4
50,8
51,4
52,8
53,4
54,8
55,8
56,8
57,8
58,4
59,4
60,8
61,4
62,2
63,4
64,2
65,8
66,8
67,8
68,8
69,3
70,3
71,8
72,1
73,3
74,4
75,4
76,2
77,8
78,8
79,4
80,8
81,4
82,4
83,4
84,8
85,2
86,2
87,3
88,4
89,8
90,3
91,4
92,8
93,5
94,3
95,4
96,8
97,6
98,8
99,5
100,1
101,8
102,4
103,3
104,8
105,2
106,6
107,7
108,1
109,5
110,6
111,8
112,3
113,8
114,4
115,8
116,8
117,4
118,4
119,8
120,4
121,4
122,8
123,1
124,4
125,1
126,8
127,4
128,4
129,4
130,2
131,8
132,1
133,8
134,4
135,1
136,8
137,4
138,8
139,8
140,4
141,8
142,4
143,6
144,4
145,8
146,8
147,8
148,4
149,8
150,1
151,4
152,4
153,4
154,1
155,6
156,2
157,2
158,1
159,1
160,1
161,8
162,4
163,4
164,4
165,8
166,8
167,6
168,4
169,4
170,8
171,4
172,7
173,4
174,3
175,8
176,8
177,1
178,4
179,7
180,1
181,4
182,1
183,3
184,8
185,4
186,8
187,8
188,8
189,4
190,4
191,4
192,4
193,4
194,1
195,1
196,4
197,4
198,4
199,3
200,4
201,1
202,8
203,8
204,4
205,8
206,4
207,4
208,4
209,8
210,8
211,4
212,4
213,3
214,8
215,8
216,3
217,8
218,4
219,1
220,4
221,8
222,1
223,8
224,4
225,4
226,6
227,8
228,2
229,8
230,8
231,4
232,6
233,8
234,4
235,4
236,4
237,5
238,8
239,4
240,4
241,4
242,1
243,8
244,4
245,4
246,4
247,4
248,2
249,4
250,6
251,4
252,4
253,4
254,6
255,8
256,5
257,1
258,8
259,1
260,8
261,8
262,1
263,8
264,8
265,1
266,8
267,4
268,3
269,1
270,8
271,8
272,4
273,2
274,5
275,4
276,4
277,4
278,5
279,5
280,8
281,4
282,4
283,4
284,8
285,1
286,8
287,4
288,4
289,1
290,4
291,4
292,3
293,4
294,4
295,8
296,8
297,8
298,8
299,1
300,1
301,4
302,8
303,8
304,3
305,8
306,4
307,4
308,8
309,8
310,8
311,3
312,4
313,3
314,4
315,4
316,4
317,5
318,8
319,7
320,3
321,7
322,1
323,4
324,4
325,4
326,8
327,8
328,1
329,8
330,4
331,8
332,1
333,1
334,8
335,4
336,4
337,4
338,6
339,4
340,8
341,4
342,1
343,4
344,8
345,8
346,4
347,4
348,4
349,4
350,1
351,4
352,1
353,4
354,4
355,4
356,4
357,4
358,1
359,1
360,8
361,3
362,4
363,8
364,7
365,8
366,1
367,8
368,4
369,8
370,1
371,3
372,3
373,4
374,8
375,8
376,6
377,4
378,8
379,7
380,8
381,8
382,8
383,8
384,3
385,2
386,8
387,4
388,8
389,4
390,1
391,8
392,2
393,1
394,5
395,4
396,1
397,8
398,6
399,1
400,8
401,4
402,3
403,4
404,3
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,8
413,8
414,3
415,1
416,8
417,3
418,8
419,1
420,8
421,4
422,8
423,6
424,6
425,7
426,8
427,1
428,5
429,4
430,3
431,4
432,8
433,8
434,1
435,8
436,8
437,6
438,4
439,4
440,4
441,8
442,8
443,4
444,3
445,6
446,1
447,8
448,8
449,8
450,8
451,8
452,4
453,8
454,8
455,1
456,4
457,1
458,8
459,8
460,8
461,8
462,4
463,5
464,4
465,1
466,8
467,8
468,4
469,4
470,8
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,1
479,8
480,5
481,4
482,4
483,1
484,2
485,8
486,3
487,8
488,8
489,1
490,8
491,8
492,4
493,8
494,4
495,8
496,4
497,1
498,8
499,7
500,1
501,8
502,8
