,answers
0,4
1,7
2,4
3,1
4,2
5,1
6,6
7,1
8,4
9,8
10,1
11,4
12,1
13,4
14,7
15,4
16,4
17,2
18,2
19,8
20,7
21,1
22,1
23,3
24,1
25,3
26,5
27,3
28,6
29,1
30,6
31,3
32,5
33,1
34,2
35,8
36,6
37,1
38,4
39,2
40,4
41,2
42,2
43,4
44,6
45,8
46,3
47,5
48,5
49,4
50,2
51,2
52,1
53,5
54,8
55,3
56,1
57,7
58,1
59,1
60,1
61,3
62,1
63,5
64,3
65,1
66,6
67,4
68,8
69,2
70,7
71,3
72,8
73,4
74,3
75,1
76,6
77,1
78,3
79,6
80,1
81,1
82,1
83,1
84,2
85,1
86,6
87,8
88,4
89,4
90,4
91,1
92,1
93,6
94,1
95,4
96,8
97,1
98,4
99,4
100,1
101,8
102,1
103,4
104,8
105,8
106,1
107,3
108,1
109,1
110,5
111,8
112,3
113,5
114,4
115,1
116,6
117,1
118,2
119,1
120,3
121,3
122,3
123,8
124,8
125,3
126,1
127,4
128,4
129,3
130,3
131,4
132,6
133,2
134,2
135,1
136,7
137,1
138,8
139,1
140,5
141,4
142,1
143,1
144,5
145,2
146,1
147,4
148,6
149,2
150,1
151,4
152,4
153,7
154,4
155,1
156,8
157,1
158,1
159,1
160,1
161,5
162,7
163,5
164,4
165,2
166,1
167,2
168,5
169,4
170,8
171,4
172,8
173,7
174,1
175,4
176,6
177,8
178,4
179,1
180,2
181,2
182,5
183,2
184,1
185,4
186,1
187,8
188,7
189,3
190,4
191,8
192,6
193,3
194,1
195,4
196,1
197,6
198,4
199,4
200,1
201,1
202,8
203,1
204,1
205,1
206,7
207,4
208,6
209,3
210,8
211,4
212,2
213,8
214,1
215,6
216,4
217,2
218,4
219,1
220,1
221,7
222,3
223,5
224,4
225,1
226,8
227,1
228,5
229,2
230,1
231,5
232,1
233,1
234,4
235,4
236,4
237,4
238,8
239,3
240,3
241,4
242,7
243,1
244,1
245,5
246,3
247,2
248,4
249,4
250,4
251,8
252,2
253,7
254,5
255,6
256,7
257,1
258,5
259,3
260,4
261,8
262,1
263,1
264,8
265,1
266,8
267,5
268,4
269,3
270,7
271,7
272,1
273,5
274,2
275,2
276,8
277,3
278,1
279,4
280,4
281,6
282,2
283,4
284,8
285,8
286,1
287,2
288,1
289,1
290,4
291,3
292,1
293,5
294,1
295,6
296,1
297,1
298,7
299,1
300,1
301,6
302,1
303,3
304,1
305,7
306,1
307,6
308,1
309,3
310,1
311,7
312,3
313,3
314,4
315,4
316,4
317,1
318,7
319,2
320,4
321,5
322,3
323,1
324,5
325,1
326,5
327,6
328,4
329,3
330,1
331,1
332,1
333,1
334,8
335,1
336,4
337,6
338,3
339,4
340,4
341,1
342,2
343,4
344,4
345,4
346,4
347,4
348,4
349,1
350,1
351,7
352,3
353,7
354,2
355,7
356,4
357,4
358,4
359,6
360,7
361,1
362,5
363,8
364,1
365,3
366,2
367,3
368,1
369,8
370,2
371,1
372,1
373,5
374,1
375,8
376,7
377,1
378,4
379,1
380,3
381,4
382,1
383,3
384,3
385,1
386,6
387,4
388,8
389,7
390,1
391,4
392,2
393,1
394,8
395,1
396,4
397,8
398,5
399,5
400,3
401,7
402,2
403,1
404,1
405,8
406,4
407,1
408,7
409,4
410,4
411,1
