,answers
0, F 
1, G 
2, D 
3, F 
4, B 
5, D 
6, F 
7, A 
8, F 
9, F 
10, A 
11, B 
12, A 
13, C 
14, G 
15, D 
16, D 
17, B 
18, B 
19, H 
20, G 
21, A 
22, E 
23, C 
24, A 
25, C 
26, E 
27, C 
28, F 
29, F 
30, F 
31, C 
32, E 
33, A 
34, B 
35, H 
36, F 
37, A 
38, E 
39, B 
40, D 
41, B 
42, B 
43, D 
44, G 
45, H 
46, F 
47, E 
48, E 
49, C 
50, G 
51, B 
52, D 
53, E 
54, H 
55, A 
56, A 
57, G 
58, G 
59, C 
60, H 
61, C 
62, B 
63, E 
64, C 
65, F 
66, F 
67, C 
68, G 
69, C 
70, G 
71, C 
72, H 
73, E 
74, C 
75, F 
76, F 
77, C 
78, C 
79, F 
80, A 
81, E 
82, A 
83, F 
84, B 
85, E 
86, G 
87, H 
88, G 
89, B 
90, G 
91, F 
92, F 
93, G 
94, A 
95, D 
96, H 
97, A 
98, D 
99, D 
100, A 
101, H 
102, A 
103, F 
104, F 
105, H 
106, A 
107, C 
108, G 
109, A 
110, E 
111, H 
112, C 
113, E 
114, D 
115, B 
116, F 
117, A 
118, D 
119, D 
120, C 
121, C 
122, E 
123, H 
124, H 
125, C 
126, A 
127, D 
128, G 
129, C 
130, C 
131, D 
132, F 
133, B 
134, B 
135, A 
136, G 
137, D 
138, H 
139, G 
140, E 
141, E 
142, B 
143, B 
144, E 
145, H 
146, A 
147, D 
148, F 
149, B 
150, A 
151, D 
152, D 
153, G 
154, D 
155, D 
156, H 
157, A 
158, A 
159, A 
160, H 
161, E 
162, E 
163, E 
164, C 
165, B 
166, A 
167, F 
168, G 
169, G 
170, H 
171, F 
172, H 
173, G 
174, C 
175, A 
176, F 
177, H 
178, E 
179, D 
180, B 
181, B 
182, E 
183, B 
184, A 
185, D 
186, D 
187, H 
188, G 
189, C 
190, C 
191, H 
192, F 
193, C 
194, B 
195, D 
196, D 
197, F 
198, B 
199, F 
200, A 
201, A 
202, H 
203, D 
204, C 
205, A 
206, G 
207, G 
208, F 
209, C 
210, H 
211, H 
212, B 
213, H 
214, F 
215, F 
216, F 
217, B 
218, G 
219, A 
220, C 
221, G 
222, C 
223, E 
224, G 
225, A 
226, H 
227, E 
228, E 
229, E 
230, C 
231, E 
232, G 
233, A 
234, G 
235, D 
236, B 
237, D 
238, H 
239, C 
240, C 
241, D 
242, G 
243, D 
244, C 
245, E 
246, C 
247, B 
248, D 
249, D 
250, B 
251, H 
252, B 
253, G 
254, E 
255, F 
256, G 
257, A 
258, A 
259, C 
260, B 
261, H 
262, A 
263, A 
264, H 
265, A 
266, H 
267, D 
268, D 
269, C 
270, H 
271, G 
272, A 
273, E 
274, G 
275, H 
276, H 
277, B 
278, C 
279, D 
280, H 
281, F 
282, B 
283, B 
284, H 
285, H 
286, H 
287, F 
288, G 
289, D 
290, D 
291, C 
292, A 
293, E 
294, E 
295, F 
296, B 
297, B 
298, G 
299, C 
300, A 
301, F 
302, B 
303, C 
304, E 
305, G 
306, A 
307, F 
308, A 
309, C 
310, A 
311, G 
312, C 
313, C 
314, E 
315, H 
316, D 
317, F 
318, G 
319, C 
320, G 
321, G 
322, C 
323, A 
324, D 
325, C 
326, E 
327, F 
328, D 
329, C 
330, A 
331, A 
332, A 
333, A 
334, H 
335, H 
336, G 
337, F 
338, C 
339, G 
340, G 
341, B 
342, B 
343, D 
344, H 
345, E 
346, B 
347, G 
348, A 
349, G 
350, F 
351, G 
352, C 
353, G 
354, B 
355, G 
356, H 
357, F 
358, D 
359, F 
360, G 
361, A 
362, E 
363, H 
364, A 
365, C 
366, B 
367, C 
368, A 
369, H 
370, G 
371, B 
372, C 
373, E 
374, G 
375, H 
376, G 
377, E 
378, G 
379, A 
380, C 
381, H 
382, E 
383, C 
384, C 
385, A 
386, F 
387, D 
388, H 
389, G 
390, A 
391, H 
392, B 
393, A 
394, H 
395, G 
396, H 
397, H 
398, E 
399, E 
400, C 
401, G 
402, B 
403, E 
404, A 
405, H 
406, F 
407, G 
408, G 
409, B 
410, H 
411, A 
412, C 
413, G 
414, D 
415, H 
416, H 
417, C 
418, D 
419, A 
420, D 
421, E 
422, A 
423, C 
424, B 
425, C 
426, D 
427, E 
428, D 
429, A 
430, G 
431, D 
432, G 
433, C 
434, A 
435, H 
436, D 
437, F 
438, F 
439, F 
440, F 
441, E 
442, G 
443, F 
444, C 
445, C 
446, A 
447, F 
448, G 
449, C 
450, G 
451, A 
452, B 
453, D 
454, C 
455, H 
456, D 
457, G 
458, D 
459, C 
460, B 
461, E 
462, E 
463, A 
464, H 
465, A 
466, B 
467, B 
468, G 
469, D 
470, A 
471, F 
472, D 
473, A 
474, B 
475, C 
476, E 
477, D 
478, F 
479, F 
480, A 
481, G 
482, C 
483, A 
484, G 
485, E 
486, A 
487, D 
488, A 
489, G 
490, D 
491, F 
492, G 
493, B 
494, E 
495, B 
496, D 
497, D 
498, G 
499, G 
500, F 
501, E 
502, G 
503, H 
504, A 
505, A 
506, H 
507, E 
508, C 
509, D 
510, F 
511, D 
512, G 
513, D 
514, C 
515, H 
516, C 
517, G 
518, A 
519, F 
520, D 
521, E 
522, C 
523, G 
524, A 
525, D 
526, F 
527, G 
528, D 
529, E 
530, A 
531, G 
532, G 
533, G 
534, G 
535, G 
536, F 
537, E 
538, B 
539, A 
540, F 
541, F 
542, B 
543, E 
544, B 
545, C 
546, F 
547, G 
548, E 
549, C 
550, H 
551, A 
552, A 
553, D 
554, F 
555, H 
556, E 
557, D 
558, G 
559, E 
560, G 
561, D 
562, C 
563, C 
564, G 
565, F 
566, A 
567, D 
568, F 
569, A 
570, A 
